Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2026-07-27,2026-07-28,1234,SP ANTHROPIC CLAUDE,Merchandise,179.00,
2026-07-24,2026-07-25,1234,CCV*Null Pointer P,Dining,63.25,
2026-07-24,2026-07-25,1234,CCV*Rubber Duck D,Merchandise,22.85,
2026-07-23,2026-07-23,5678,TECH DEBT CHARGE:PURCHASES,Fee/Interest Charge,37.83,
2026-07-21,2026-07-22,1234,LeetEats.io LeetE,Dining,69.48,
2026-07-17,2026-07-18,1234,GITHUB COPILOT US,Phone/Cable,27.33,
2026-07-15,2026-07-16,5678,DOCKER PIZZA CO SEATT,Dining,49.74,
2026-07-15,2026-07-16,5678,COMPILE   *EATS,Dining,,9.44
2026-07-15,2026-07-16,5678,COMPILE   *EATS,Dining,45.12,
2026-07-10,2026-07-10,1234,OCTOCAT ONE MOBILE PYMT,Payment/Credit,,332.66
2026-06-27,2026-06-29,1234,SP ANTHROPIC CLAUDE,Merchandise,147.00,
2026-06-17,2026-06-18,1234,GITHUB COPILOT US,Phone/Cable,27.32,
2026-06-05,2026-06-05,5678,CREDIT-AWS PROMO CREDIT,Payment/Credit,,106.84
2026-06-04,2026-06-05,5678,AWS EMEA,Merchandise,1558.86,
2026-05-27,2026-05-28,1234,SP ANTHROPIC CLAUDE,Merchandise,179.00,
2026-05-18,2026-05-19,1234,GITHUB COPILOT US,Phone/Cable,27.32,
2026-05-09,2026-05-09,1234,OCTOCAT ONE MOBILE PYMT,Payment/Credit,,1.50
2026-05-07,2026-05-08,1234,TESLA SUPRCHG U730914500,Gas/Automotive,1.50,
2026-05-02,2026-05-02,1234,OCTOCAT ONE MOBILE PYMT,Payment/Credit,,805.63
2026-04-29,2026-04-29,1234,SP ANTHROPIC CLAUDE,Merchandise,179.00,
2026-04-27,2026-04-28,1234,TESLA SUPRCHG U730914500,Gas/Automotive,9.95,
2026-04-19,2026-04-20,1234,WAYMO RENT-A-CAR,Car Rental,616.68,
